30416	32
374252	45
1052330	54
1543862	128
2125572	180
2616918	234
3247482	387
3736794	488
4243542	651
4621656	1273
5127282	1819
5570436	2009
5995296	8735
6405942	10000
6881346	10912
7381854	12460
8142534	12606
8538474	14411
8949120	15491
9620982	15655
10102728	17458
10482192	17786
10975794	18972
